icon,info,link,name,time
http://www.lizibuluo.com/bar/http://lizibuluo.com/favicon.ico,简易实用的柱状图，以及折线图在线生成程序,http://www.lizibuluo.com/bar/,在线制图,2021-08-03
https://www.superbed.cn/./favicon.ico,"聚合图床是一个提供高速外链的免费图床,无限流量,无限外链,全网CDN,提供API和客户端上传图片,支持一键拖放上传即时预览",https://www.superbed.cn/,聚合图床,2021-08-03
https://www.processon.com/./favicon.ico,"ProcessOn is a free online diagramming platform and provides users with powerful and easy-to-use drawing tools. You can easily share your diagram or collaborate with others. On ProcessOn, you can create varieties of diagrams such as Mindmap, Flowchart, Org Chart, Network Topology, UML Diagram, UI and Layouts, iOS Mockup, BPMN and so on.",https://www.processon.com,在线UML,2021-08-03
https://xydh.fun/echsfxy/./favicon.ico,炫猿是一款高度可定制化的网址导航，可为每个用户提供个性化域名访问的导航页面。独一无二的定制化功能注定成为导航届的一批黑马，你的专属主页。,https://xydh.fun/echsfxy,二次寒树,2021-08-03
http://music.jsososo.com/favicon.ico,,http://music.jsososo.com/,网易云镜像,2021-08-03
https://xydh.fun/haoran/./favicon.ico,炫猿是一款高度可定制化的网址导航，可为每个用户提供个性化域名访问的导航页面。独一无二的定制化功能注定成为导航届的一批黑马，你的专属主页。,https://xydh.fun/haoran,HaoRan,2021-08-03
https://squoosh.app/./c/favicon-c9cf50ef.ico,"Compress and compare images with different codecs, right in your browser",https://squoosh.app/,在线图片压缩,2021-08-03
https://xydh.fun/davidzw100/./favicon.ico,炫猿是一款高度可定制化的网址导航，可为每个用户提供个性化域名访问的导航页面。独一无二的定制化功能注定成为导航届的一批黑马，你的专属主页。,https://xydh.fun/davidzw100,davidzw100,2021-08-03
http://music.ifkdy.com/favicon.ico,一站搜索试听网易云音乐、QQ音乐、酷狗音乐、酷我音乐、虾米音乐、百度音乐、一听音乐、咪咕音乐、荔枝FM、蜻蜓FM、喜马拉雅FM、全民K歌、5sing原创翻唱音乐。,http://music.ifkdy.com/,疯狂音乐搜索,2021-08-03
https://zh.pickfrom.net/./img/fav/favicon.ico,"PickFrom - 一站式视频剪辑平台, 提供功能一应俱全、简单好用的在线视频剪辑工具, 让您轻松玩转视频",https://zh.pickfrom.net/,在线网页长截图,2021-08-03
https://xydh.fun/zsxhb/./favicon.ico,炫猿是一款高度可定制化的网址导航，可为每个用户提供个性化域名访问的导航页面。独一无二的定制化功能注定成为导航届的一批黑马，你的专属主页。,https://xydh.fun/zsxhb,助手小伙伴,2021-08-03
,,http://listen1.github.io/listen1/,Listen 1,2021-08-03
https://xydh.fun/limini/./favicon.ico,炫猿是一款高度可定制化的网址导航，可为每个用户提供个性化域名访问的导航页面。独一无二的定制化功能注定成为导航届的一批黑马，你的专属主页。,https://xydh.fun/limini,limini的领地,2021-08-03
https://xydh.fun/zcc1017/./favicon.ico,炫猿是一款高度可定制化的网址导航，可为每个用户提供个性化域名访问的导航页面。独一无二的定制化功能注定成为导航届的一批黑马，你的专属主页。,https://xydh.fun/zcc1017,ZCC小站,2021-08-03
https://xydh.fun/hgs/./favicon.ico,炫猿是一款高度可定制化的网址导航，可为每个用户提供个性化域名访问的导航页面。独一无二的定制化功能注定成为导航届的一批黑马，你的专属主页。,https://xydh.fun/hgs,花果山,2021-08-03
,,http://dianying.im/,电影先生,2021-08-03
https://xydh.fun/tutukkk/./favicon.ico,炫猿是一款高度可定制化的网址导航，可为每个用户提供个性化域名访问的导航页面。独一无二的定制化功能注定成为导航届的一批黑马，你的专属主页。,https://xydh.fun/tutukkk,兔兔兔兔兔,2021-08-03
https://xydh.fun/xungeer/./favicon.ico,炫猿是一款高度可定制化的网址导航，可为每个用户提供个性化域名访问的导航页面。独一无二的定制化功能注定成为导航届的一批黑马，你的专属主页。,https://xydh.fun/xungeer,迅哥儿的猹,2021-08-03
https://xydh.fun/Bible/./favicon.ico,炫猿是一款高度可定制化的网址导航，可为每个用户提供个性化域名访问的导航页面。独一无二的定制化功能注定成为导航届的一批黑马，你的专属主页。,https://xydh.fun/Bible,Joker,2021-08-03
https://xydh.fun/QDxjs/./favicon.ico,炫猿是一款高度可定制化的网址导航，可为每个用户提供个性化域名访问的导航页面。独一无二的定制化功能注定成为导航届的一批黑马，你的专属主页。,https://xydh.fun/QDxjs,干货小青灯,2021-08-03
https://www.remove.bg/./favicon-32x32.png?v=YAXaAv7pao,Remove image backgrounds automatically in 5 seconds with just one click. Don't spend hours manually picking pixels. Upload your photo now & see the magic.,https://www.remove.bg/,在线抠图,2021-08-03
https://xydh.fun/bindh/./favicon.ico,炫猿是一款高度可定制化的网址导航，可为每个用户提供个性化域名访问的导航页面。独一无二的定制化功能注定成为导航届的一批黑马，你的专属主页。,https://xydh.fun/bindh,Gif背景例,2021-08-03
https://xydh.fun/moyunshitai/./favicon.ico,炫猿是一款高度可定制化的网址导航，可为每个用户提供个性化域名访问的导航页面。独一无二的定制化功能注定成为导航届的一批黑马，你的专属主页。,https://xydh.fun/moyunshitai,墨韵诗台,2021-08-03
,高清Kindle格式漫画下载，支持推送漫画到kindle设备。,https://vol.moe/,kindle漫画,2021-08-03
https://www.sq688.com/search.php?key=%E5%91%A8%E6%/./favicon.ico,"超高无损音乐网SQ688.Com收录大量无损音乐免费下载,提供华语男歌手,华语女歌手,华语乐队,专辑合集,欧美歌手等FLAC,WAV,DSD,APE格式无损音乐免费下载",https://www.sq688.com/search.php?key=%E5%91%A8%E6%,无损下载,2021-08-03
https://itpanda.net/book/./static/img/favicon.ico,收集网络上的计算机书籍，相互分享,https://itpanda.net/book/,IT书籍,2021-08-03
https://xydh.fun/hanjiangke/./favicon.ico,炫猿是一款高度可定制化的网址导航，可为每个用户提供个性化域名访问的导航页面。独一无二的定制化功能注定成为导航届的一批黑马，你的专属主页。,https://xydh.fun/hanjiangke,寒江不寒,2021-08-03
https://xydh.fun/jinghua/./favicon.ico,炫猿是一款高度可定制化的网址导航，可为每个用户提供个性化域名访问的导航页面。独一无二的定制化功能注定成为导航届的一批黑马，你的专属主页。,https://xydh.fun/jinghua,虚拟精华,2021-08-03
http://zyplayer.fun/assets/img/favicon.png,,http://zyplayer.fun/,ZY Player ,2021-08-03
https://xydh.fun/xiaonian/./favicon.ico,炫猿是一款高度可定制化的网址导航，可为每个用户提供个性化域名访问的导航页面。独一无二的定制化功能注定成为导航届的一批黑马，你的专属主页。,https://xydh.fun/xiaonian,Arica,2021-08-03
,提供最新探索频道 国家地理频道纪录片连载，想看最新的纪录片，来这里就对了。,http://jlpcn.net/,纪录片天地,2021-08-03
https://ebook.blinkol.com/favicon.ico,熊猫搜书平台，提供免费电子书下载，mobi、epud、pdf、txt格式，kindle电子书下载,https://ebook.blinkol.com/,熊猫搜书,2021-08-03
https://xydh.fun/lydqe/./favicon.ico,炫猿是一款高度可定制化的网址导航，可为每个用户提供个性化域名访问的导航页面。独一无二的定制化功能注定成为导航届的一批黑马，你的专属主页。,https://xydh.fun/lydqe,旅游的企鹅,2021-08-03
https://xydh.fun/asahi/./favicon.ico,炫猿是一款高度可定制化的网址导航，可为每个用户提供个性化域名访问的导航页面。独一无二的定制化功能注定成为导航届的一批黑马，你的专属主页。,https://xydh.fun/asahi,伊斯坦堡,2021-08-03
https://www.jiumodiary.com/images/favicon.png,鸠摩搜索引擎,https://www.jiumodiary.com/,鸠摩搜书,2021-08-03
http://www.yinyuetai.com/./favicon.ico,yinyuetai,http://www.yinyuetai.com/,音悦台,2021-08-03
http://sswz.spb.gov.cn/./img/icon/logo.ico,,http://sswz.spb.gov.cn/,快递申诉,2021-08-03
//www.mvcat.com/img/logo_appicon.png,,https://www.mvcat.com/,电影推荐,2021-08-03
,"美食杰 – 配你走过了十一年的美食菜谱网站，收天下美食菜谱,提供丰富的菜谱家常菜做法大全,全国各地菜谱大全,精美的美食图片,生动的美食视频让你最快的学会各类家常菜谱。还有丰富的养生食谱供你选择，美食杰值得你收藏的美食网站",https://www.meishij.net/,美食杰,2021-08-03
https://www.everypixel.com/./i/mobile_icons/ep-favicon.ico,Stock image finder for all who hate bad stock photos. Use it to find the best licensed images for the lowest price. More than 50 image sources.,https://www.everypixel.com/,图片素材搜索,2021-08-03
https://weread.qq.com/https://rescdn.qqmail.com/node/wr/wrpage/style/images/independent/favicon/favicon_16h.png,微信读书提供海量正版书籍、小说、漫画、公众号、听书，多设备同步实现跨屏阅读。与微信好友一起发现更多精品好书，随时交流感想，让阅读不再孤独。,https://weread.qq.com,微信读书在线,2021-08-03
https://yinyue.qugeek.com/./favicon.ico,(｡•ˇˇ•｡)我没能给墨灵过上 4 岁生日。关闭之际，我想回顾这近 1300 天的历程。墨灵是 mkplayer 开源项目的改进版，也是我作为计算机初学者的第一个练手的项目。诞生之际，我没想过...,https://yinyue.qugeek.com/,墨灵音乐,2021-08-03
,默沙东诊疗手册（在美国和加拿大称为默克手册）是医生、学生和消费者的医学参考书的全球标准——自 1899 年至今。,https://www.msdmanuals.cn/,《默克诊疗手册》,2021-08-03
https://www.cupfox.com/https://p.qlogo.cn/zc_icon/0/a48ed4731ef857ef4570b4af6ac8c5f216233263757814/0.png,茶杯狐是中国最大的影视资源聚合搜索引擎，实时聚合全网优质影视资源，同时支持在线、下载和字幕。电影、电视剧、动漫、综艺应有尽有。,https://www.cupfox.com/,茶杯狐,2021-08-03
http://www.dajiadaohang.com/./Public/Skins/favicon.ico,"打假人,执法者,进货人,消费者专用查询的网址导航站点，直通官方数据库。查验商标、证书、编号、认证信息、厂家信息等官方核定的真实状态，让假货、假公司、假证件、假批文等立刻现形。",http://www.dajiadaohang.com/,打假导航,2021-08-03
https://www.bangongziyuan.com/?wzxydh=/./web/foreground/images/favicon.ico,"办公资源网是一家专注海量办公资源下载的网站,提供各种精美创意PPT模板、Excel模板、Word模板、免费音效资源及大量办公素材,包括个人简历Word模板,工作总结PPT,教育培训课件等大量办公模板,来办公资源网,办公不求人。",https://www.bangongziyuan.com/?wzxydh=,办公资源网_精品PP,2021-08-03
https://www.salted-fish.top/./Fishing.png,Salted Fish 是一个优秀的前端开发个人网站，收集许多好用的 JavaScript 工具库，和站长的一些有趣分享。,https://www.salted-fish.top/,前端技术,2021-08-03
https://post.smzdm.com/./favicon.ico?v=201906300250,什么值得买社区频道，这里有好玩的开箱晒物、最实用的购物攻略、评测报告，为大家提供消费决策，是众多值友分享消费主张、获取消费经验知识的互动频道。,https://post.smzdm.com/,什么值得买,2021-08-03
,片库网是一个可在线观看、下载视频的网站。每日收集全网最新的电影、剧集、动漫高清资源供网友免费下载！,https://www.pianku.li/,片库,2021-08-03
https://site.sciping.com/images/fav.ico,科塔学术导航-致力于成为国内领先的科研与学术资源导航平台，为科研人员提供科研网站导航，网址库等服务，让科研工作更简单、更有效率。,https://site.sciping.com/,科塔学术,2021-08-03
,,http://muchong.com/,小木虫,2021-08-03
http://ac.scmor.com/res/favicon.ico,"思谋学术：为科研工作者提供谷歌学术搜索的镜像网站导航,自动检测和更新可以访问的谷歌镜像网址,并提供学术论文的Sci-Hub免费下载通道。",http://ac.scmor.com/,谷歌镜像2,2021-08-03
https://dos.zczc.cz/./static/icon/favicon-32x32.png,,https://dos.zczc.cz/,DOS在线玩,2021-08-03
https://mirrors.tuna.tsinghua.edu.cn/#/./static/img/favicon.png,清华大学开源软件镜像站，致力于为国内和校内用户提供高质量的开源软件镜像、Linux 镜像源服务，帮助用户更方便地获取开源软件。本镜像站由清华大学 TUNA 团队负责维护。,https://mirrors.tuna.tsinghua.edu.cn/#,清华开源软件镜像,2021-08-03
,,http://www.h5gs.com,街机手机在线玩,2021-08-03
https://www.boyunso.com/./favicon.ico,拨云搜索提供贴心的小说搜索服务，您可以通过角色、剧情、专有词汇和类似小说进行检索。我们的内容覆盖了各主流小说站点80%以上的作品，找小说更专业。,https://www.boyunso.com/,拨云搜索,2021-08-03
,,https://www.hyage.com/,极度放松,2021-08-03
,优品PPT模板网是一家专注于分享高质量的免费PPT模板下载网站，包括图表、背景图片、素材、教程等各类PPT模板相关资源。致力于打造国内最大最权威的PPT下载一站式服务平台。,http://www.ypppt.com/,PPT模板,2021-08-03
,广西壮族自治区图书馆,http://www.gxlib.org.cn,下知网万方,2021-08-03
http://sci-hub.tech/https://sci-hub.tech/wp-content/uploads/2020/06/unnamed-150x150.png,Latest working Sci Hub and Library Genesis links(updated automatically-2020)scihub最新可用网址. The first pirate website in the world to open mass and public access to tens of millions research papers(Real-time detection).,http://sci-hub.tech/,SCI-HUB,2021-08-03
